GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,TA,RF,SW,VPD,Ndepo,LAI,longitude,latitude,Region,randomNum
3859,7380,63,84,2785,5320,29258,3775,14490,31,32345236,54,-77.4238537209302,-0.279508497187474,1,0.88211673173088
4115,7702,77,97,1454,5683,29637,3596,14432,34,28352840,56,-77.4238537209302,-0.838525491562421,1,0.926712781797929
4244,7892,83,102,756,6160,29680,3461,14483,34,25357499,58,-77.4238537209302,-1.39754248593737,1,0.953285866760344
4128,7771,81,101,745,6408,29668,2932,14127,34,23961721,58,-77.4238537209302,-1.95655948031232,1,0.0625213025946448
4230,7912,86,107,810,6392,29735,3073,13895,34,21238234,59,-77.4238537209302,-2.51557647468726,1,0.907780153517413
4145,7775,85,103,408,6534,29791,3301,13947,33,20645102,59,-77.4238537209302,-3.07459346906221,1,0.868570326524515
4089,7758,83,102,396,6530,29792,3602,14490,34,20671851,58,-77.4238537209302,-3.63361046343716,1,0.0110510095666166
3961,7658,80,98,332,6540,29763,3326,14618,33,20734853,56,-77.4238537209302,-4.19262745781211,1,0.240952837651205
4149,7896,83,102,362,6573,29712,2634,14880,37,22311244,58,-77.4238537209302,-4.75164445218705,1,0.929979247249634
3701,7504,71,91,759,6275,29360,2801,15151,30,24012269,54,-77.4238537209302,-5.310661446562,1,0.460175524758576
3005,6712,58,81,1582,5336,29193,2332,15464,33,27425319,49,-77.4238537209302,-5.86967844093695,1,0.447747580336057
3000,6774,64,84,2664,4560,28876,2342,15436,26,29549375,49,-77.4238537209302,-6.4286954353119,1,0.0715333217551699
3253,7120,68,92,2796,4335,28739,2870,15830,26,28344927,50,-77.4238537209302,-6.98771242968684,1,0.502910587389117
2746,6419,63,85,2786,4230,28535,2509,16302,24,24954917,45,-77.4238537209302,-7.54672942406179,1,0.380775367843208
2481,5959,58,73,3494,3603,28364,1847,16276,29,21768289,44,-77.4238537209302,-8.10574641843674,1,0.34915293442027
4268,7831,88,99,526,7565,29845,2369,12510,44,32255021,57,-76.8648367265553,8.10574641843674,1,0.00657166907265783
3829,7163,77,86,211,7390,29887,3613,13113,43,50814870,50,-76.8648367265553,7.54672942406179,1,0.769737587805167
4072,7587,73,89,199,6769,29860,4788,11941,36,52248273,48,-76.8648367265553,6.98771242968684,1,0.970747373779438
3984,7539,69,87,330,6314,29736,7754,10289,24,51391847,46,-76.8648367265553,6.4286954353119,1,0.365560931949638
4016,7700,69,86,312,6100,29734,7834,10086,22,49283555,47,-76.8648367265553,5.86967844093695,1,0.434834607066363
4112,7897,73,89,292,6013,29737,7066,9845,23,47095970,49,-76.8648367265553,5.310661446562,1,0.870894641019598
3783,7578,67,84,47,5919,29774,7639,10157,24,46014724,48,-76.8648367265553,4.75164445218705,1,0.0906166742494783
3516,7258,60,79,40,5954,29733,9790,9845,23,43804049,49,-76.8648367265553,4.19262745781211,1,0.958739951697185
3381,7102,54,78,39,6201,29540,24954,10246,21,41607395,46,-76.8648367265553,3.63361046343716,1,0.523865782881299
3082,6663,49,74,49,6034,29421,18271,11286,19,40618151,46,-76.8648367265553,3.07459346906221,1,0.327723671177696
3133,6785,62,80,616,5700,29226,6826,11963,17,39614250,47,-76.8648367265553,2.51557647468726,1,0.491006745661947
2415,5729,52,69,1706,4526,29239,4683,15008,45,39019530,40,-76.8648367265553,1.95655948031232,1,0.709151734240621
2854,6261,53,74,1116,4534,28709,2789,15561,27,38670235,46,-76.8648367265553,1.39754248593737,1,0.1909394373588
3260,6634,47,70,2865,5386,29396,3127,14426,38,36288233,49,-76.8648367265553,0.838525491562421,1,0.562481465368325
4151,7664,79,99,1798,6760,29700,3428,13964,40,31903432,59,-76.8648367265553,0.279508497187474,1,0.617681212826723
4282,7882,84,104,786,7355,29717,3728,14027,34,29709649,59,-76.8648367265553,-0.279508497187474,1,0.152082408056549
4183,7753,81,96,572,7274,29738,3716,14181,33,25889182,59,-76.8648367265553,-0.838525491562421,1,0.952578823428784
4049,7597,80,93,413,7065,29747,3174,14251,34,23379556,58,-76.8648367265553,-1.39754248593737,1,0.209944097623085
4114,7733,81,93,454,6871,29748,3147,14204,34,22258104,58,-76.8648367265553,-1.95655948031232,1,0.876371742810727
4111,7739,82,94,313,6598,29776,3191,14062,34,20073046,59,-76.8648367265553,-2.51557647468726,1,0.232427102028282
4155,7798,84,98,237,6567,29783,3031,13944,33,19715211,59,-76.8648367265553,-3.07459346906221,1,0.458678870319527
4078,7661,83,97,213,6575,29804,3316,14175,32,19813710,59,-76.8648367265553,-3.63361046343716,1,0.904723311976071
3996,7555,80,94,305,6640,29822,3314,14275,32,20016404,58,-76.8648367265553,-4.19262745781211,1,0.586464625565668
3953,7463,78,91,182,6781,29817,3207,14821,38,21373912,58,-76.8648367265553,-4.75164445218705,1,0.0398168842244214
4015,7791,80,98,436,6811,29589,2756,15211,35,22746938,57,-76.8648367265553,-5.310661446562,1,0.277390842499958
3592,7416,71,90,1177,6464,29356,2646,15388,32,25504177,53,-76.8648367265553,-5.86967844093695,1,0.251372818977172
3566,7583,74,96,2183,6016,29102,2779,15457,28,27393589,52,-76.8648367265553,-6.4286954353119,1,0.214858774375446
