site,isSoS,phenoDate,ta,sw,sm
3,1,732580,10.1353153337751,209.504393187831,1.51841254980603
3,1,733026,20.9124686540876,329.581001984127,1.56902084498635
3,1,733311.5,10.5763905843099,148.620356481481,1.51060248315002
3,1,733696,14.7532590157645,251.077525633353,1.33650358729137
3,1,734133.5,20.103337890625,308.001268518519,1.92450010232537
3,1,734426,12.6260884748187,231.498016554414,1.89517159822852
3,1,734771,14.800402570452,235.724289021164,0.350327727504197
3,1,735157,14.13652230399,222.539344367376,1.06031939517366
3,1,735527.5,15.1852454020182,249.808037274773,1.05350624120746
3,1,735857,12.1833568464007,162.22556547619,1.80182660645761
3,1,736262.5,10.5062754720052,211.321500446084,2.62773595148257
3,1,736608,16.0706219046457,227.011872361602,0.227472098087085
3,1,736993.5,14.7760108642578,271.246188022755,1.77592006356543
