site,isSoS,phenoYY,phenoDoY,ta,sw,sm
6,0,2005,248,22.3561888340541,283.884505515124,0.0799061436366313
6,0,2006,186,23.9254777308873,277.864343584656,1.17328150838304
6,0,2007,268,13.2015016828265,155.277399140212,0.293630663618881
6,0,2008,239,23.0947472708566,378.806326058201,0.958247478316986
6,0,2009,243,24.3581346348354,344.320631613757,0.0801110663199787
6,0,2010,258,18.9907168579102,352.120016534392,0.221457583648514
6,0,2011,263,11.9459395926339,166.376281415344,0.544518939417315
6,0,2012,300,16.2291182599749,187.036177248677,0.209418468476502
6,0,2013,242,17.3372907366072,146.81451223545,0.642024231225703
6,0,2014,207,19.6792401123047,272.93354901995,1.3495305835452
6,0,2015,288,20.7496823120117,281.72615311557,0.306604946577254
6,0,2016,197,18.9364290509905,366.841064814815,1.18553072354853
6,0,2017,299,24.340808933803,295.47183531746,0.379603354766884
6,0,2018,248,15.064596296038,186.432724867725,0.485024372589733
6,0,2019,289,23.0096045793806,324.691579034392,0.081436342129396
11,1,2000,20,25.5769907052176,300.597258597884,4.67811564805592
11,1,2000,361,24.4589484514509,307.766580687831,4.8845254487946
11,1,2001,196,15.752819039481,105.683323412698,3.38665988839263
11,1,2003,5,24.5736718314035,264.640456349206,11.8605450606394
11,1,2003,212,13.6785173252651,100.132384259259,4.68318273536865
11,1,2004,177,14.3877486746652,115.604136904762,2.46288222398389
11,1,2005,360,24.987722996303,329.191845238095,2.58150039488941
11,1,2007,4,25.8615307617188,249.74896494709,6.31980720142635
11,1,2007,354,24.5625474330357,316.865846560847,5.56380374185726
11,1,2009,20,23.7168027169364,284.640413359788,3.63385230040062
11,1,2009,207,12.5736172485352,104.532017195767,5.50311729907473
11,1,2010,360,23.2621665736607,266.879818121693,4.60506897903839
11,1,2011,299,20.3843167550223,244.415072767419,4.45639676274613
11,1,2012,355,26.144482901437,265.525314153439,4.36038087666974
11,1,2013,299,20.4770140293666,247.809653755874,2.84786571626115
11,1,2014,238,15.4793749564035,165.080744047619,4.60246722066714
11,1,2015,228,22.1617489624024,144.95716765873,6.20007685420898
11,1,2016,355,23.8515309361049,290.191121031746,5.00249011520032
11,1,2018,15,25.2812939889091,312.363617724868,2.83629118656855
11,1,2019,5,25.8088456072126,277.394279100529,8.5774710746617
11,1,2019,284,20.2497508021764,233.940845123775,5.72105906768463
11,0,2000,20,20.4172261265346,112.67195271164,6.63632786134759
11,0,2000,361,20.0459298706055,141.109575066138,5.57283298863305
11,0,2001,196,22.1225344848633,152.032503306878,6.2450771241624
11,0,2003,5,21.727807006836,133.288354828042,8.49208980663492
11,0,2003,212,18.2598512486049,196.423358134921,2.46167775420858
11,0,2004,177,24.6284680175781,223.519745275104,2.09409057046757
11,0,2005,360,25.0788664463588,199.927597995334,7.26006741994373
11,0,2007,4,16.8423779296875,171.611987433862,2.5693847667255
11,0,2007,354,21.7077087838309,148.415930886243,6.83924256332459
11,0,2009,20,18.8060820225307,160.684565145503,4.76221594238145
11,0,2009,207,21.1555077253069,200.440044642857,1.89893569767713
11,0,2010,360,20.3334542410715,192.770004960317,3.2644771545777
11,0,2011,299,22.9870183890207,151.861845806465,6.8762011879498
11,0,2012,355,20.2546915980748,179.19861441799,1.76547164935306
11,0,2013,299,20.2322654506139,174.401299603175,4.78581668164057
11,0,2014,238,22.2205542428153,177.908505291005,6.71042903529432
11,0,2015,228,21.0302315412249,156.266416997354,5.80043900116064
11,0,2016,355,24.376809866769,143.80013723545,5.29328374718259
11,0,2018,15,21.5427092197963,177.605315806878,9.39272239713935
11,0,2019,5,21.7613738577707,180.867923280423,3.14794180709662
11,0,2019,284,21.5621415492467,237.591458488343,3.12275145422544
14,1,1999,329,20.2943850272043,233.676455026455,2.92948248916922
14,1,2000,330,22.8254007829939,243.963009259259,4.24685032060806
