site,igbp,ecoregion,YY,DoY,TA,SW,RF,mat,mar,BIO,randomNum
112,7,11,2020,87,-4.31573703342012,144.4327031893,1.62200228856826,-2.19696027315578,1.88862258076089,-0.282917,3585
112,7,11,2020,111,0.416772935655406,158.537726337449,2.53697024626915,-2.19696027315578,1.88862258076089,-0.5001296,2173
112,7,11,2020,135,8.65920084635418,200.967849794239,1.88399668567155,-2.19696027315578,1.88862258076089,0.363058,5095
112,7,11,2020,183,11.0649189588759,136.660293209877,1.8187796885766,-2.19696027315578,1.88862258076089,0.1187459,153
112,7,11,2020,231,13.7697112358941,203.919125514403,2.10182583121486,-2.19696027315578,1.88862258076089,-0.01696441,34
112,7,11,2020,255,9.33930955674916,89.7500694444445,3.1158476307023,-2.19696027315578,1.88862258076089,-0.01928093,2889
112,7,11,2020,279,6.45162896050349,45.0768021210721,3.39972658958393,-2.19696027315578,1.88862258076089,0.2250264,5675
112,7,11,2020,303,-1.62333543565536,40.8274897119342,1.86812942502346,-2.19696027315578,1.88862258076089,-0.4726834,422
112,7,11,2020,327,-1.73881388346352,11.8324434156379,2.55144028033788,-2.19696027315578,1.88862258076089,-0.4980057,1164
112,7,11,2020,351,-15.2947792561849,8.22248456790124,1.58221769434623,-2.19696027315578,1.88862258076089,0.8959591,3656
112,7,11,2021,9,-16.1773365614149,13.5268930041152,1.58420099071635,-2.19696027315578,1.88862258076089,1.244913,397
112,7,11,2021,33,-12.1397079128689,28.0620010288066,1.29937381868499,-2.19696027315578,1.88862258076089,-0.1343883,964
112,7,11,2021,105,-0.867190009223067,202.560843621399,3.02787047850775,-2.19696027315578,1.88862258076089,0.2919493,4586
112,7,11,2021,153,8.61068779839411,241.084398148148,0.59770311381074,-2.19696027315578,1.88862258076089,-0.02808463,5951
112,7,11,2021,201,12.1782608371311,162.928299897119,2.54030278345037,-2.19696027315578,1.88862258076089,0.5609168,4970
112,7,11,2021,225,9.68659830729168,99.8248276748971,1.91005146714532,-2.19696027315578,1.88862258076089,-0.3215724,3688
112,7,11,2021,249,10.6495430840386,111.056601080247,1.76755567564795,-2.19696027315578,1.88862258076089,0.1843959,1063
112,7,11,2021,273,1.52776855468752,100.90614912873,2.01026175779178,-2.19696027315578,1.88862258076089,-0.2003251,1509
112,7,11,2021,297,-2.29981438530814,50.0039994855967,2.35329135120398,-2.19696027315578,1.88862258076089,0.1803099,5544
112,7,11,2021,321,-16.7766776529948,27.8358693415638,0.527982404180851,-2.19696027315578,1.88862258076089,-0.3311415,179
113,7,11,2019,308,-11.5118763563368,9.46554269547324,0.925403611422649,-10.9488534689357,1.22932897043873,-0.06730487,4058
113,7,11,2019,332,-17.4515602620443,0.0186008230452675,0.748702361320538,-10.9488534689357,1.22932897043873,0.2500671,3996
113,7,11,2019,356,-28.9930050998264,0,0.553654900049928,-10.9488534689357,1.22932897043873,-0.2366446,3094
113,7,11,2020,15,-17.9099472384983,0.0921296296296296,0.379193967711799,-10.9488534689357,1.22932897043873,-0.4475384,4978
113,7,11,2020,39,-35.5585726589626,15.1707613168724,0.283156861311816,-10.9488534689357,1.22932897043873,0.2383452,473
113,7,11,2020,63,-26.3637852647569,58.1744703385467,0.471164945080397,-10.9488534689357,1.22932897043873,0.1637086,1225
113,7,11,2020,87,-17.7146085611979,134.898281893004,0.565372343318144,-10.9488534689357,1.22932897043873,-0.6166856,4634
113,7,11,2020,111,-9.37772359212239,175.380522119342,1.16663864508419,-10.9488534689357,1.22932897043873,-0.1798757,5114
