GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,BCdepo,TA,RF,SM,SW,VPD,Ndepo,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,LAI,longitude,latitude,indRows,indCols,Region,randomNum
2724,5812,42,59,1691,4565,2540,28445,2225,480,15884,20,2396,5145,5560,8042,261,35030787,44,-77.9828707153052,0.279508497187474,36,183,1,0.817118851307114
3296,6811,55,71,1913,5320,3102,28489,3425,496,15230,16,2481,4813,5576,8365,261,33473824,49,-77.9828707153052,-0.279508497187474,37,183,1,0.531685314237565
3528,6966,58,76,3420,5683,3299,29298,3749,490,14435,35,2766,4754,5391,8856,261,30415195,51,-77.9828707153052,-0.838525491562421,38,183,1,0.521122048508881
3616,7035,60,81,3355,6160,2697,29416,3092,497,14600,36,2965,4859,5261,9373,375,27484949,52,-77.9828707153052,-1.39754248593737,39,183,1,0.77430970898665
3681,7244,63,86,3485,6408,2697,29378,4050,526,13767,30,3077,4793,5217,9808,264,26034257,53,-77.9828707153052,-1.95655948031232,40,183,1,0.120262770779979
3739,7386,69,93,3323,6392,2068,29484,4648,557,13314,32,3115,4696,5218,10542,264,23193976,54,-77.9828707153052,-2.51557647468726,41,183,1,0.625450151917525
3801,7452,74,95,2704,6534,2093,29660,3009,553,13857,36,3126,4538,5125,11165,402,22293546,54,-77.9828707153052,-3.07459346906221,42,183,1,0.346648685550547
3935,7714,77,98,1870,6530,2322,29679,2713,548,14770,42,3122,4427,4996,11393,402,22138144,54,-77.9828707153052,-3.63361046343716,43,183,1,0.334619385839875
3986,7808,79,100,1321,6540,1794,29726,3144,548,14983,38,2976,4369,4980,11164,402,21834114,55,-77.9828707153052,-4.19262745781211,44,183,1,0.574616563380975
4197,8112,85,108,1348,6573,2157,29562,3207,556,15015,34,3137,4305,5013,11330,402,22808152,54,-77.9828707153052,-4.75164445218705,45,183,1,0.863937641058782
3549,7371,69,89,1415,6275,3444,29209,2974,557,14898,24,3186,4715,5190,9789,340,24063802,52,-77.9828707153052,-5.310661446562,46,183,1,0.198563072170653
2781,6425,57,79,860,5336,1562,28781,2996,515,14969,17,3114,5259,5463,7806,264,26587567,48,-77.9828707153052,-5.86967844093695,47,183,1,0.672450963697648
2497,6016,58,76,2347,4560,1327,28573,2116,489,15818,29,2975,5075,5475,7750,264,27962804,49,-77.9828707153052,-6.4286954353119,48,183,1,0.901831370980072
2476,5958,59,78,3238,4335,1679,28561,2198,440,16475,32,2900,4700,5550,8250,261,26631788,46,-77.9828707153052,-6.98771242968684,49,183,1,0.199157181618953
3893,7538,79,95,181,6780,1372,29775,3020,532,13165,36,3373,4194,5237,11692,375,19209196,51,-77.4238537209302,8.66476341281169,21,184,1,0.298284149829983
3988,7728,84,100,75,6608,1554,29684,3647,519,13622,30,3231,4213,5206,11701,402,46322468,55,-77.4238537209302,8.10574641843674,22,184,1,0.496520270263375
4118,7846,86,101,507,6559,1675,29762,3788,554,13231,36,3231,4089,5226,11579,389,45293040,57,-77.4238537209302,7.54672942406179,23,184,1,0.88990423168468
3893,7569,75,92,335,6376,2079,29760,5114,551,12661,30,3393,4098,5236,11154,261,21113676,52,-77.4238537209302,6.98771242968684,24,184,1,0.501414589868598
3718,7375,61,85,0,6148,2171,29741,7218,543,9334,30,3381,4623,5187,10350,261,19487407,44,-77.4238537209302,6.4286954353119,25,184,1,0.276995239103975
3952,7740,66,88,0,5942,1943,29764,6810,583,8243,30,3368,4516,5266,10272,261,14591295,46,-77.4238537209302,5.86967844093695,26,184,1,0.53395817866685
3860,7667,63,87,0,5788,1860,29749,6897,554,8509,28,3445,4235,5163,10092,261,15304718,46,-77.4238537209302,5.310661446562,27,184,1,0.574249553785642
3861,7747,69,87,0,5765,1801,29803,9798,438,8409,24,3467,3827,4950,10337,389,13031426,46,-77.4238537209302,4.75164445218705,28,184,1,0.412804401721059
3661,7496,55,83,0,5874,1795,29818,15321,579,8688,24,3488,3972,4831,10027,389,15934166,46,-77.4238537209302,4.19262745781211,29,184,1,0.0147636628050427
3617,7288,66,82,0,6050,1795,29771,17957,588,7499,28,3166,4200,5016,10577,389,16195334,47,-77.4238537209302,3.63361046343716,30,184,1,0.702764803428255
3570,7188,61,79,0,6028,2473,29769,10255,576,9307,29,3179,4141,5096,10667,261,16749975,48,-77.4238537209302,3.07459346906221,31,184,1,0.506747151486991
3406,6895,56,79,41,6031,4047,29587,11411,579,10300,25,3293,4699,5214,9450,261,33967472,46,-77.4238537209302,2.51557647468726,32,184,1,0.38126609842696
3341,6837,59,81,204,5074,4696,29357,5207,507,14100,31,3240,4997,5165,9559,261,39310372,47,-77.4238537209302,1.95655948031232,33,184,1,0.0649315348738551
3184,6733,53,79,558,4476,3309,29069,4229,513,14794,32,2840,5330,5270,8390,264,40119503,48,-77.4238537209302,1.39754248593737,34,184,1,0.358579960661015
2928,6183,43,63,3157,3959,3252,28543,2913,483,14586,17,2552,5104,5496,7734,261,38977712,45,-77.4238537209302,0.838525491562421,35,184,1,0.234251242532243
3652,7074,61,81,2898,4565,2890,29241,2882,473,14602,34,2995,4787,5303,10005,261,34557052,54,-77.4238537209302,0.279508497187474,36,184,1,0.20350405288897
3859,7380,63,84,2785,5320,2210,29258,3775,485,14490,31,3050,4876,5102,10160,264,32345236,54,-77.4238537209302,-0.279508497187474,37,184,1,0.81377958316422
4115,7702,77,97,1454,5683,2064,29637,3596,550,14432,34,3102,4357,4863,10840,402,28352840,56,-77.4238537209302,-0.838525491562421,38,184,1,0.393434593593473
4244,7892,83,102,756,6160,2127,29680,3461,572,14483,34,2917,3923,4740,11445,402,25357499,58,-77.4238537209302,-1.39754248593737,39,184,1,0.0535751708614938
4128,7771,81,101,745,6408,2127,29668,2932,551,14127,34,2910,3941,4707,11290,402,23961721,58,-77.4238537209302,-1.95655948031232,40,184,1,0.375051578272469
4230,7912,86,107,810,6392,1967,29735,3073,570,13895,34,2833,3825,4644,11071,402,21238234,59,-77.4238537209302,-2.51557647468726,41,184,1,0.774994177417674
4145,7775,85,103,408,6534,1681,29791,3301,572,13947,33,3010,3815,4602,10746,389,20645102,59,-77.4238537209302,-3.07459346906221,42,184,1,0.165297620870777
4089,7758,83,102,396,6530,1597,29792,3602,542,14490,34,3079,3927,4548,10903,402,20671851,58,-77.4238537209302,-3.63361046343716,43,184,1,0.912218897036659
3961,7658,80,98,332,6540,1563,29763,3326,517,14618,33,3085,3973,4600,10744,402,20734853,56,-77.4238537209302,-4.19262745781211,44,184,1,0.319205781809233
4149,7896,83,102,362,6573,1975,29712,2634,517,14880,37,3114,4112,4720,10072,402,22311244,58,-77.4238537209302,-4.75164445218705,45,184,1,0.329779668283949
3701,7504,71,91,759,6275,2271,29360,2801,542,15151,30,3371,4479,5110,10119,340,24012269,54,-77.4238537209302,-5.310661446562,46,184,1,0.204235670095109
3005,6712,58,81,1582,5336,2253,29193,2332,530,15464,33,3150,5101,5425,8531,264,27425319,49,-77.4238537209302,-5.86967844093695,47,184,1,0.767214736379813
3000,6774,64,84,2664,4560,1914,28876,2342,487,15436,26,3440,4802,5370,8868,264,29549375,49,-77.4238537209302,-6.4286954353119,48,184,1,0.0699731489528251
3253,7120,68,92,2796,4335,2269,28739,2870,441,15830,26,3399,4700,5314,9557,264,28344927,50,-77.4238537209302,-6.98771242968684,49,184,1,0.950033948013614
2746,6419,63,85,2786,4230,2269,28535,2509,441,16302,24,3166,4889,5350,9014,261,24954917,45,-77.4238537209302,-7.54672942406179,50,184,1,0.158209784906886
2481,5959,58,73,3494,3603,1990,28364,1847,421,16276,29,2880,4500,5380,8840,261,21768289,44,-77.4238537209302,-8.10574641843674,51,184,1,0.286445866401004
4268,7831,88,99,526,7565,1833,29845,2369,503,12510,44,3133,3966,5316,11733,389,32255021,57,-76.8648367265553,8.10574641843674,22,185,1,0.68712911473695
3829,7163,77,86,211,7390,2687,29887,3613,555,13113,43,2931,3531,4925,11975,389,50814870,50,-76.8648367265553,7.54672942406179,23,185,1,0.141149823637791
4072,7587,73,89,199,6769,3824,29860,4788,570,11941,36,3274,4022,5074,11278,389,52248273,48,-76.8648367265553,6.98771242968684,24,185,1,0.512086650483433
3984,7539,69,87,330,6314,4058,29736,7754,582,10289,24,3236,4112,4965,11229,389,51391847,46,-76.8648367265553,6.4286954353119,25,185,1,0.721326927294165
4016,7700,69,86,312,6100,3691,29734,7834,584,10086,22,3274,4119,4975,10864,389,49283555,47,-76.8648367265553,5.86967844093695,26,185,1,0.928845135619855
4112,7897,73,89,292,6013,3793,29737,7066,584,9845,23,3308,3993,4844,10594,389,47095970,49,-76.8648367265553,5.310661446562,27,185,1,0.73210385001626
3783,7578,67,84,47,5919,4474,29774,7639,583,10157,24,3403,4043,4778,10165,389,46014724,48,-76.8648367265553,4.75164445218705,28,185,1,0.749848020738123
3516,7258,60,79,40,5954,4167,29733,9790,584,9845,23,3253,4245,4802,10458,389,43804049,49,-76.8648367265553,4.19262745781211,29,185,1,0.407319603105505
3381,7102,54,78,39,6201,4167,29540,24954,592,10246,21,3200,4750,5113,10014,261,41607395,46,-76.8648367265553,3.63361046343716,30,185,1,0.239491695587883
3082,6663,49,74,49,6034,4913,29421,18271,581,11286,19,3188,5060,5222,9179,261,40618151,46,-76.8648367265553,3.07459346906221,31,185,1,0.520850475083039
3133,6785,62,80,616,5700,3631,29226,6826,554,11963,17,3247,5052,5152,9142,264,39614250,47,-76.8648367265553,2.51557647468726,32,185,1,0.219077360108904
2415,5729,52,69,1706,4526,2968,29239,4683,519,15008,45,2683,4958,5333,7766,264,39019530,40,-76.8648367265553,1.95655948031232,33,185,1,0.842387903898747
2854,6261,53,74,1116,4534,3380,28709,2789,512,15561,27,2771,5210,5368,8279,261,38670235,46,-76.8648367265553,1.39754248593737,34,185,1,0.662932909051294
3260,6634,47,70,2865,5386,3813,29396,3127,484,14426,38,2903,5173,5350,8820,375,36288233,49,-76.8648367265553,0.838525491562421,35,185,1,0.816235285166455
4151,7664,79,99,1798,6760,1919,29700,3428,554,13964,40,3300,4158,4825,11408,389,31903432,59,-76.8648367265553,0.279508497187474,36,185,1,0.793877600102571
4282,7882,84,104,786,7355,1716,29717,3728,563,14027,34,3070,3795,4480,11430,389,29709649,59,-76.8648367265553,-0.279508497187474,37,185,1,0.469105203551762
4183,7753,81,96,572,7274,1717,29738,3716,574,14181,33,3092,3776,4379,10730,389,25889182,59,-76.8648367265553,-0.838525491562421,38,185,1,0.309524979334574
4049,7597,80,93,413,7065,1717,29747,3174,572,14251,34,3001,3760,4481,9697,402,23379556,58,-76.8648367265553,-1.39754248593737,39,185,1,0.687579247513742
4114,7733,81,93,454,6871,1717,29748,3147,561,14204,34,2968,3705,4459,9695,402,22258104,58,-76.8648367265553,-1.95655948031232,40,185,1,0.986852223389968
4111,7739,82,94,313,6598,1701,29776,3191,559,14062,34,2964,3698,4397,10128,402,20073046,59,-76.8648367265553,-2.51557647468726,41,185,1,0.769933875855542
4155,7798,84,98,237,6567,1783,29783,3031,572,13944,33,3101,3786,4453,10239,402,19715211,59,-76.8648367265553,-3.07459346906221,42,185,1,0.829580846725193
4078,7661,83,97,213,6575,1824,29804,3316,549,14175,32,3056,3830,4431,9034,402,19813710,59,-76.8648367265553,-3.63361046343716,43,185,1,0.706084765450312
3996,7555,80,94,305,6640,1752,29822,3314,498,14275,32,2934,3782,4398,8179,402,20016404,58,-76.8648367265553,-4.19262745781211,44,185,1,0.595336418647749
3953,7463,78,91,182,6781,1704,29817,3207,517,14821,38,2902,3831,4420,7752,402,21373912,58,-76.8648367265553,-4.75164445218705,45,185,1,0.752874120082542
4015,7791,80,98,436,6811,1911,29589,2756,543,15211,35,3168,4147,4799,9591,402,22746938,57,-76.8648367265553,-5.310661446562,46,185,1,0.496722203825239
3592,7416,71,90,1177,6464,1726,29356,2646,542,15388,32,3183,4600,5143,10168,402,25504177,53,-76.8648367265553,-5.86967844093695,47,185,1,0.865132654012061
3566,7583,74,96,2183,6016,1578,29102,2779,546,15457,28,3189,4883,5290,9323,402,27393589,52,-76.8648367265553,-6.4286954353119,48,185,1,0.0680276941294123
3916,8036,78,105,1802,5911,2783,29378,3607,552,15820,40,3230,4466,5266,10864,402,26822711,54,-76.8648367265553,-6.98771242968684,49,185,1,0.968545940212993
3397,7319,68,93,2346,6289,2783,29321,2709,492,16105,46,3209,4871,5297,9771,264,25018152,49,-76.8648367265553,-7.54672942406179,50,185,1,0.0987563119710001
2954,6712,59,81,3353,5142,3451,28590,3180,462,15599,19,3000,4818,5318,9201,261,23320896,47,-76.8648367265553,-8.10574641843674,51,185,1,0.546977086455275
2547,6222,52,72,3197,4406,2624,28221,2630,453,15999,19,2882,5000,5334,8508,261,22399355,41,-76.8648367265553,-8.66476341281169,52,185,1,0.402969908979534
1827,4997,45,60,3636,3699,2123,28019,1660,409,17458,21,2625,4500,5291,8708,291,22118048,42,-76.8648367265553,-9.22378040718663,53,185,1,0.107040155400183
4361,8114,83,102,72,8404,2482,29879,2247,536,15308,47,3275,4404,5320,11375,389,55745969,51,-76.3058197321803,8.10574641843674,22,186,1,0.724166170480622
4085,7772,71,91,15,8049,4632,29505,4609,576,13425,29,3307,4430,5226,11066,402,57190734,53,-76.3058197321803,7.54672942406179,23,186,1,0.613682347960576
3630,7286,61,83,21,6591,5396,29257,5548,566,12971,19,3167,4886,5181,9691,375,58221056,48,-76.3058197321803,6.98771242968684,24,186,1,0.782968192518063
3694,7319,59,80,91,6252,5151,29142,8743,550,12760,18,3145,4928,5074,9775,375,57807919,46,-76.3058197321803,6.4286954353119,25,186,1,0.566620582441644
3541,7194,55,77,177,5970,5029,29257,8890,550,12401,21,3135,4834,5155,9793,375,56430557,45,-76.3058197321803,5.86967844093695,26,186,1,0.811319158706923
3692,7405,61,80,152,5973,5062,29476,10245,575,11809,20,3184,4822,5154,9840,261,54953711,48,-76.3058197321803,5.310661446562,27,186,1,0.57677586024099
3502,7286,57,77,69,6075,4675,29229,6179,548,11351,17,3181,4983,5103,9876,261,53845715,47,-76.3058197321803,4.75164445218705,28,186,1,0.944029193841664
3180,6968,46,74,61,6063,3763,29187,6454,516,12178,20,3012,5196,5182,9096,261,50265046,44,-76.3058197321803,4.19262745781211,29,186,1,0.871452148941678
3424,7131,53,78,203,5585,3763,29066,6940,510,14154,35,2812,5062,5475,8137,261,46659777,48,-76.3058197321803,3.63361046343716,30,186,1,0.507602207944769
2665,6042,43,63,877,5150,3437,28803,4651,495,14571,31,2520,4530,5460,8780,261,44885121,41,-76.3058197321803,3.07459346906221,31,186,1,0.788823165012461
2593,6026,42,62,1516,4796,3545,28512,3885,526,14645,19,2565,4611,5465,8615,261,41651048,43,-76.3058197321803,2.51557647468726,32,186,1,0.4730306408997
2481,5784,41,60,1352,4665,3464,28800,2878,489,14622,20,2816,4966,5427,8510,261,38541428,42,-76.3058197321803,1.95655948031232,33,186,1,0.828801698488441
3235,6691,55,74,2003,5697,4026,28997,5650,524,14539,21,3150,5134,5223,9141,261,36966712,49,-76.3058197321803,1.39754248593737,34,186,1,0.322481588061953
4153,7659,76,92,1775,7238,3391,29772,3579,520,14166,37,3124,4242,4872,11084,389,33320434,57,-76.3058197321803,0.838525491562421,35,186,1,0.976146535227356
4215,7743,79,91,424,7911,1797,29778,3570,540,13900,33,3089,3892,4596,11410,389,29077717,59,-76.3058197321803,0.279508497187474,36,186,1,0.278211040263144
4189,7704,80,93,329,7665,1627,29792,3651,573,13798,33,3033,4004,4470,10497,402,26955088,59,-76.3058197321803,-0.279508497187474,37,186,1,0.0728308048124289
4185,7750,81,95,319,7359,1607,29772,3287,574,13741,33,3058,3799,4372,10724,402,23393843,59,-76.3058197321803,-0.838525491562421,38,186,1,0.751223605872008
4027,7533,80,93,305,7065,1612,29782,2989,573,13791,34,2969,3833,4401,10343,402,21413417,58,-76.3058197321803,-1.39754248593737,39,186,1,0.831188620534169
3976,7465,80,92,332,6864,1612,29789,2805,570,13871,33,2967,3907,4447,10575,402,20583614,58,-76.3058197321803,-1.95655948031232,40,186,1,0.922338093331131
4022,7563,81,91,286,6591,1814,29774,2850,568,13832,32,3042,3762,4444,10945,402,18970269,59,-76.3058197321803,-2.51557647468726,41,186,1,0.327024293370015
3870,7377,79,90,249,6538,1902,29784,2915,528,13771,32,3003,3822,4477,10356,402,18632990,58,-76.3058197321803,-3.07459346906221,42,186,1,0.804069262570712
3920,7355,79,90,221,6568,1945,29813,2994,489,13886,32,2934,3822,4384,8310,402,18898360,58,-76.3058197321803,-3.63361046343716,43,186,1,0.538250333300567
3886,7295,76,88,165,6647,1919,29822,2968,487,13989,32,2821,3808,4380,6113,402,19328020,58,-76.3058197321803,-4.19262745781211,44,186,1,0.463294879079307
3771,7133,73,85,149,6787,1612,29861,2772,481,14588,36,2809,3729,4392,5970,402,20168187,57,-76.3058197321803,-4.75164445218705,45,186,1,0.82075025085467
3986,7699,80,94,166,6955,1469,29848,2779,521,14904,40,2957,3755,4494,9402,402,21385782,58,-76.3058197321803,-5.310661446562,46,186,1,0.951906506191454
4098,8017,82,100,823,7041,1482,29835,2466,516,14902,46,3020,4091,4894,10713,389,23365227,59,-76.3058197321803,-5.86967844093695,47,186,1,0.076272889439772
4015,8119,80,99,1466,6994,1456,29641,2292,549,15471,37,3269,4479,5113,11074,402,24942355,54,-76.3058197321803,-6.4286954353119,48,186,1,0.708671064187825
4177,8416,85,104,1139,6928,1728,29668,2352,557,15666,37,3184,4452,5152,11252,402,25045073,54,-76.3058197321803,-6.98771242968684,49,186,1,0.234926443836988
4148,8354,82,105,752,6781,1728,29576,2830,562,15498,35,3190,4472,5142,11365,402,24939615,54,-76.3058197321803,-7.54672942406179,50,186,1,0.398895557719012
3724,7849,75,98,2081,6231,2312,29384,3976,573,14626,32,3269,4663,5127,10280,402,24837927,52,-76.3058197321803,-8.10574641843674,51,186,1,0.268124426906609
3030,6846,60,79,3281,5771,2649,29445,2840,539,14472,47,3128,5002,5212,9113,375,24801832,45,-76.3058197321803,-8.66476341281169,52,186,1,0.832513316595536
