GPP_cedar,GPP_fluxsat,GPP_zhang,GPP_MOD17A3HGF,GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,SIFOCO2,ELEVATION,BCCMASS,BCdepo,TA,RF,SM,SW,VPD,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,Ndepo,LAI,BIOMASS,longitude,latitude,indRows,indCols,Region,randomNum
7.41,5.89,7.23287671232877,7.53424657534247,0.3242,0.7011,0.32,0.352,0.327,2013,4897,1562,29480,1470,450,15086,67,2988,5488,5511,8288,264,25333763,49,25222,-78.5418877096801,-5.86967844093695,47,182,1,0.164140923375798
7.98,7.35,7.31506849315068,6.82191780821918,0.3785,0.7259,0.39,0.384,0.355,277,6743,755,29856,2073,460,13674,44,3875,3924,5426,11224,402,24353784,48,25260,-77.9828707153052,9.22378040718663,20,183,1,0.0931721295240463
8.09,8.15,7.15068493150685,6.82191780821918,0.4024,0.7638,0.43,0.396,0.383,195,6780,1089,29853,2665,501,14284,40,3609,3729,5402,11679,402,43802413,50,23506,-77.9828707153052,8.66476341281169,21,183,1,0.685324864521948
8.07,7.65,7.06849315068493,6.35616438356164,0.3973,0.7592,0.4,0.388,0.365,43,6608,1837,29849,2943,579,13360,40,3544,3971,5272,11656,402,25149704,48,22902,-77.9828707153052,8.10574641843674,22,183,1,0.142671298086907
7.72,8.3,6.54794520547945,6.46575342465753,0.3808,0.7535,0.38,0.38,0.355,0,6559,1831,29710,4742,536,13186,32,3311,4615,5338,10837,261,12758701,51,26381,-77.9828707153052,7.54672942406179,23,183,1,0.528711653269026
7.47,8.04,5.83561643835616,7.94520547945205,0.3702,0.7218,0.33,0.344,0.329,12,6031,1909,29759,12443,532,9479,30,3398,4019,4977,9698,389,17574932,50,20259,-77.9828707153052,2.51557647468726,32,183,1,0.00357277332427541
7.49,8.21,5.75342465753425,7.83561643835616,0.3561,0.6946,0.305,0.328,0.31,25,5074,2098,29607,6527,560,11814,26,3399,4192,5049,9748,261,37229255,49,21170,-77.9828707153052,1.95655948031232,33,183,1,0.425057790934981
7,8.4,5.83561643835616,7.75342465753425,0.3433,0.6868,0.29,0.324,0.277,30,4476,3590,29287,7206,509,12035,18,3287,5051,5277,9272,261,38348206,47,19399,-77.9828707153052,1.39754248593737,34,183,1,0.22434090517641
7.28,8.38,6.24657534246575,7.91780821917808,0.3389,0.6945,0.35,0.36,0.325,500,3959,3275,28381,2595,532,14597,19,3271,5031,5268,8902,261,38141805,50,23352,-77.9828707153052,0.838525491562421,35,183,1,0.659942132313487
6.14,6.73,5.06849315068493,6.76712328767123,0.2724,0.5812,0.21,0.236,0.158,1691,4565,2540,28445,2225,480,15884,20,2396,5145,5560,8042,261,35030787,44,23842,-77.9828707153052,0.279508497187474,36,183,1,0.503101896379671
