BA,DEMmean,NDVImean,SLOPEmean,rain_1months_mm,rain_3months_mm,tempMean_1M,temp_fire_C,windSpeedMax,windSpeedMean,temp_fire_C_2InitDays,windSpeedMax_2InitDays,windSpeedMean_2InitDays,duration,durationLog,random,Y
880,304.22412109375,6506,0.997882843017578,0.244878089984603,0.388712357704417,6.43715756734213,10.2799271901449,2.65906128482862,1.47377288110438,10.2392180124919,2.65906128482862,1.66936066578438,8,2.19722457733622,0.00384447063249493,4.58269733013603
751,480.750671386719,7415,0.690309703350067,0.002720468086995,0.283577568468356,22.0175084431966,24.1826748212179,3.97944460936662,2.00814873471125,24.5223743014865,2.48653107468447,2.05457176902928,5,1.79175946922805,0.370766885620441,4.82964618253608
537,825.979248046875,2614.5,0.90640515089035,0.00478773076952166,0.0748632354593894,25.8644971211751,27.3095564206442,1.95670725648535,1.35930459917784,26.8795715332031,1.95670725648535,1.72054540779621,5,1.79175946922805,0.260271416508238,4.49423862528081
837,836.152282714844,7226,2.21104669570923,0.0573345198087303,0.173123466307391,19.6877114367741,17.8263506687048,3.54304169770109,2.86237275445135,18.4172261979845,3.27454680922614,3.00509522657576,8,2.19722457733622,0.00303058033689096,4.53259949315326
837,944.177612304688,7169,1.53973245620728,0.0147042630242993,0.0871690952154438,15.8648754324964,17.8573794740619,2.79827957149238,1.06360501811943,20.9742815653483,0.633150511750862,0.488584992584186,8,2.19722457733622,0.189359813174542,4.53259949315326
601,525.271606445312,6617,1.25371539592743,0.03706977987936,0.0823664683391527,19.3409528096518,21.7987469991048,3.1144919998429,1.25674761563932,21.3646622127957,1.30612657530108,0.811319233046236,8,2.19722457733622,0.676636359401315,4.20137035719899
816,155.26789855957,4071,1.30315589904785,0.00483858909854362,0.0765333436766689,23.8970103369818,25.3873649597168,1.30723281951133,0.834909905388807,24.4225260840522,0.790876380307923,0.65848932657701,5,1.79175946922805,0.540745261871731,4.91265488573605
601,137.790145874023,5748.5,0.232381418347359,0.00328102424873222,0.118386092530098,21.7508367394888,23.0395736058553,5.51602894872431,4.50769148122872,24.8512804667155,4.46042984973724,3.79612214433037,7.00003555555556,2.0794459861144,0.0791294419075125,4.3191489484208
515,356.971221923828,3278,0.42324024438858,0.00102651305181922,0.00228555060098046,27.9782406673637,24.4574564898456,3.90197499843334,2.12797364411095,26.71999935574,0.986543892573162,0.731909019509583,6,1.94591014905531,0.299819642987012,4.29825675160842
644,590.668518066406,4969.5,1.49780178070068,0.00669548931627517,0.0411619499664546,20.6568820174023,21.0481597173782,2.80652666609439,1.78412143729532,23.3829043070476,2.65596056836601,1.77861666630134,4,1.6094379124341,0.681054723101229,4.85826081367025
