ID,Species,URL
20,Oilpalm,"https://www.google.com/maps/@4.9016546,-1.9081641,3a,48.9y,148.49h,91.45t/data=!3m7!1e1!3m5!1sEqsXZojZIaKzmMpl2vUbGA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-1.4538965341354526%26panoid%3DEqsXZojZIaKzmMpl2vUbGA%26yaw%3D148.48512458282121!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
21,Oilpalm,"https://www.google.com/maps/@4.8920889,-1.888147,3a,47.3y,344.84h,96.75t/data=!3m7!1e1!3m5!1s7UAByLr6_z9zz4yjW9zUdg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-6.749261961567811%26panoid%3D7UAByLr6_z9zz4yjW9zUdg%26yaw%3D344.83569014027836!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
22,Oilpalm,"https://www.google.com/maps/@4.8120567,-1.9573536,3a,75y,208.61h,92.18t/data=!3m7!1e1!3m5!1sf3z1STJeoRzL-EoPo21YKg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-2.1839098676314563%26panoid%3Df3z1STJeoRzL-EoPo21YKg%26yaw%3D208.60808473761773!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
23,Oilpalm,"https://www.google.com/maps/@5.8771777,-0.7024684,3a,43.4y,16.12h,90.8t/data=!3m7!1e1!3m5!1szG284k0fgogIGRrxBJyq7A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.8005575095753272%26panoid%3DzG284k0fgogIGRrxBJyq7A%26yaw%3D16.122647913430775!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
24,Oilpalm,"https://www.google.com/maps/@5.8726167,-0.6945723,3a,75y,44.52h,94.89t/data=!3m7!1e1!3m5!1s-_z2BaaSreSlHrvdRI8zfw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-4.8879423202400005%26panoid%3D-_z2BaaSreSlHrvdRI8zfw%26yaw%3D44.52043626943496!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
25,Oilpalm,"https://www.google.com/maps/@5.0924284,-2.578248,3a,23.8y,177.98h,89.87t/data=!3m7!1e1!3m5!1sI6_tcMn9KrKfDskD3j08HQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D0.13177313045051164%26panoid%3DI6_tcMn9KrKfDskD3j08HQ%26yaw%3D177.97891433220204!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
26,Oilpalm,"https://www.google.com/maps/@5.6557621,-2.1097927,3a,43y,234.19h,91.23t/data=!3m7!1e1!3m5!1sXIOnqCPkdn2CJzIhzdSVhw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-1.2328903955750405%26panoid%3DXIOnqCPkdn2CJzIhzdSVhw%26yaw%3D234.1934283788086!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
27,Oilpalm,"https://www.google.com/maps/@5.5326732,-1.9388733,3a,47.9y,75.33h,92.01t/data=!3m7!1e1!3m5!1s0oX-0qXS8JVpozJ7qRmeHw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-2.0098593961249662%26panoid%3D0oX-0qXS8JVpozJ7qRmeHw%26yaw%3D75.32534153488749!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
28,Oilpalm,"https://www.google.com/maps/@12.5618199,-16.237032,3a,48.9y,192.12h,94.57t/data=!3m7!1e1!3m5!1sOahDenUqcMxABIfhfb8NDw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-4.565189990392184%26panoid%3DOahDenUqcMxABIfhfb8NDw%26yaw%3D192.12000934516072!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
29,Palmyra,"https://www.google.com/maps/@12.5728215,-16.2096054,3a,48.9y,300.13h,97.1t/data=!3m7!1e1!3m5!1sNlWTcSJ4cXune8AjAKbU_A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-7.098849319986783%26panoid%3DNlWTcSJ4cXune8AjAKbU_A%26yaw%3D300.128312707212!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
30,Palmyra,"https://www.google.com/maps/@12.4358164,-16.6229151,3a,75y,330.09h,95.95t/data=!3m7!1e1!3m5!1sUf9CQEKMj-5K4g0WXPJIRg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-5.9493932240300325%26panoid%3DUf9CQEKMj-5K4g0WXPJIRg%26yaw%3D330.0914963904841!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
