GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,BCdepo,TA,RF,SW,VPD,Ndepo,LAI,longitude,latitude,indRows,indCols,Region,randomNum
2415,5729,52,69,1706,4526,2968,29239,4683,15008,45,39019530,40,-76.8648367265553,1.95655948031232,33,185,1,0.842387903898747
2854,6261,53,74,1116,4534,3380,28709,2789,15561,27,38670235,46,-76.8648367265553,1.39754248593737,34,185,1,0.662932909051294
3260,6634,47,70,2865,5386,3813,29396,3127,14426,38,36288233,49,-76.8648367265553,0.838525491562421,35,185,1,0.816235285166455
4151,7664,79,99,1798,6760,1919,29700,3428,13964,40,31903432,59,-76.8648367265553,0.279508497187474,36,185,1,0.793877600102571
4282,7882,84,104,786,7355,1716,29717,3728,14027,34,29709649,59,-76.8648367265553,-0.279508497187474,37,185,1,0.469105203551762
4183,7753,81,96,572,7274,1717,29738,3716,14181,33,25889182,59,-76.8648367265553,-0.838525491562421,38,185,1,0.309524979334574
4049,7597,80,93,413,7065,1717,29747,3174,14251,34,23379556,58,-76.8648367265553,-1.39754248593737,39,185,1,0.687579247513742
4114,7733,81,93,454,6871,1717,29748,3147,14204,34,22258104,58,-76.8648367265553,-1.95655948031232,40,185,1,0.986852223389968
4111,7739,82,94,313,6598,1701,29776,3191,14062,34,20073046,59,-76.8648367265553,-2.51557647468726,41,185,1,0.769933875855542
4155,7798,84,98,237,6567,1783,29783,3031,13944,33,19715211,59,-76.8648367265553,-3.07459346906221,42,185,1,0.829580846725193
4078,7661,83,97,213,6575,1824,29804,3316,14175,32,19813710,59,-76.8648367265553,-3.63361046343716,43,185,1,0.706084765450312
3996,7555,80,94,305,6640,1752,29822,3314,14275,32,20016404,58,-76.8648367265553,-4.19262745781211,44,185,1,0.595336418647749
3953,7463,78,91,182,6781,1704,29817,3207,14821,38,21373912,58,-76.8648367265553,-4.75164445218705,45,185,1,0.752874120082542
4015,7791,80,98,436,6811,1911,29589,2756,15211,35,22746938,57,-76.8648367265553,-5.310661446562,46,185,1,0.496722203825239
3592,7416,71,90,1177,6464,1726,29356,2646,15388,32,25504177,53,-76.8648367265553,-5.86967844093695,47,185,1,0.865132654012061
3566,7583,74,96,2183,6016,1578,29102,2779,15457,28,27393589,52,-76.8648367265553,-6.4286954353119,48,185,1,0.0680276941294123
3916,8036,78,105,1802,5911,2783,29378,3607,15820,40,26822711,54,-76.8648367265553,-6.98771242968684,49,185,1,0.968545940212993
3397,7319,68,93,2346,6289,2783,29321,2709,16105,46,25018152,49,-76.8648367265553,-7.54672942406179,50,185,1,0.0987563119710001
2954,6712,59,81,3353,5142,3451,28590,3180,15599,19,23320896,47,-76.8648367265553,-8.10574641843674,51,185,1,0.546977086455275
2547,6222,52,72,3197,4406,2624,28221,2630,15999,19,22399355,41,-76.8648367265553,-8.66476341281169,52,185,1,0.402969908979534
1827,4997,45,60,3636,3699,2123,28019,1660,17458,21,22118048,42,-76.8648367265553,-9.22378040718663,53,185,1,0.107040155400183
4361,8114,83,102,72,8404,2482,29879,2247,15308,47,55745969,51,-76.3058197321803,8.10574641843674,22,186,1,0.724166170480622
4085,7772,71,91,15,8049,4632,29505,4609,13425,29,57190734,53,-76.3058197321803,7.54672942406179,23,186,1,0.613682347960576
3630,7286,61,83,21,6591,5396,29257,5548,12971,19,58221056,48,-76.3058197321803,6.98771242968684,24,186,1,0.782968192518063
3694,7319,59,80,91,6252,5151,29142,8743,12760,18,57807919,46,-76.3058197321803,6.4286954353119,25,186,1,0.566620582441644
3541,7194,55,77,177,5970,5029,29257,8890,12401,21,56430557,45,-76.3058197321803,5.86967844093695,26,186,1,0.811319158706923
3692,7405,61,80,152,5973,5062,29476,10245,11809,20,54953711,48,-76.3058197321803,5.310661446562,27,186,1,0.57677586024099
3502,7286,57,77,69,6075,4675,29229,6179,11351,17,53845715,47,-76.3058197321803,4.75164445218705,28,186,1,0.944029193841664
3180,6968,46,74,61,6063,3763,29187,6454,12178,20,50265046,44,-76.3058197321803,4.19262745781211,29,186,1,0.871452148941678
3424,7131,53,78,203,5585,3763,29066,6940,14154,35,46659777,48,-76.3058197321803,3.63361046343716,30,186,1,0.507602207944769
2665,6042,43,63,877,5150,3437,28803,4651,14571,31,44885121,41,-76.3058197321803,3.07459346906221,31,186,1,0.788823165012461
2593,6026,42,62,1516,4796,3545,28512,3885,14645,19,41651048,43,-76.3058197321803,2.51557647468726,32,186,1,0.4730306408997
2481,5784,41,60,1352,4665,3464,28800,2878,14622,20,38541428,42,-76.3058197321803,1.95655948031232,33,186,1,0.828801698488441
3235,6691,55,74,2003,5697,4026,28997,5650,14539,21,36966712,49,-76.3058197321803,1.39754248593737,34,186,1,0.322481588061953
4153,7659,76,92,1775,7238,3391,29772,3579,14166,37,33320434,57,-76.3058197321803,0.838525491562421,35,186,1,0.976146535227356
4215,7743,79,91,424,7911,1797,29778,3570,13900,33,29077717,59,-76.3058197321803,0.279508497187474,36,186,1,0.278211040263144
4189,7704,80,93,329,7665,1627,29792,3651,13798,33,26955088,59,-76.3058197321803,-0.279508497187474,37,186,1,0.0728308048124289
4185,7750,81,95,319,7359,1607,29772,3287,13741,33,23393843,59,-76.3058197321803,-0.838525491562421,38,186,1,0.751223605872008
4027,7533,80,93,305,7065,1612,29782,2989,13791,34,21413417,58,-76.3058197321803,-1.39754248593737,39,186,1,0.831188620534169
3976,7465,80,92,332,6864,1612,29789,2805,13871,33,20583614,58,-76.3058197321803,-1.95655948031232,40,186,1,0.922338093331131
4022,7563,81,91,286,6591,1814,29774,2850,13832,32,18970269,59,-76.3058197321803,-2.51557647468726,41,186,1,0.327024293370015
3870,7377,79,90,249,6538,1902,29784,2915,13771,32,18632990,58,-76.3058197321803,-3.07459346906221,42,186,1,0.804069262570712
3920,7355,79,90,221,6568,1945,29813,2994,13886,32,18898360,58,-76.3058197321803,-3.63361046343716,43,186,1,0.538250333300567
3886,7295,76,88,165,6647,1919,29822,2968,13989,32,19328020,58,-76.3058197321803,-4.19262745781211,44,186,1,0.463294879079307
3771,7133,73,85,149,6787,1612,29861,2772,14588,36,20168187,57,-76.3058197321803,-4.75164445218705,45,186,1,0.82075025085467
3986,7699,80,94,166,6955,1469,29848,2779,14904,40,21385782,58,-76.3058197321803,-5.310661446562,46,186,1,0.951906506191454
4098,8017,82,100,823,7041,1482,29835,2466,14902,46,23365227,59,-76.3058197321803,-5.86967844093695,47,186,1,0.076272889439772
