YY,MM,DD,system_index,QC_500m,Range,SensorAzimuth,SensorZenith,SolarAzimuth,SolarZenith,date1,date_end,date_start,ecoregion,flux_data,flux_sitenames,gflags,granule_pnt,iobs_res,koeppen_geiger,landcover_igbp,num_observations_1km,num_observations_500m,obscov_500m,orbit_pnt,primary_veg_type,q_scan,secondary_veg_type,site_num,sitename,state_1km,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,wwf_biome,x_geo,Var38,Var39,,
2000,4,1,2000_04_01_0000000000000000014e,1073741824,33579,9882,3442,15436,4227,11048,2019-01-13,2007-03-15,8,false,,0,1,1,Dfb,5,4,1,34,1,DB,1,EN,64,acadia,1040,941,2599,584,829,3279,2787,1747,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,2,2000_04_02_0000000000000000014e,1073741824,33185,-7452,3321,17030,3954,11049,2019-01-13,2007-03-15,8,false,,0,2,3,Dfb,5,4,1,37,1,DB,3,EN,64,acadia,1041,6706,6622,6631,6714,5856,3138,1406,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,3,2000_04_03_0000000000000000014e,1073741824,40034,9591,4805,14990,4253,11050,2019-01-13,2007-03-15,8,false,,0,1,1,Dfb,5,2,1,17,0,DB,15,EN,64,acadia,1041,6271,6172,6146,6302,5476,3131,1870,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,4,2000_04_04_0000000000000000014e,1073741824,29248,-7619,1516,16559,3922,11051,2019-01-13,2007-03-15,8,false,,0,2,2,Dfb,5,3,1,50,1,DB,12,EN,64,acadia,1041,9135,9021,8870,9167,7294,3326,1662,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,5,2000_04_05_0000000000000000014e,1073741824,47889,9339,5797,14549,4296,11052,2019-01-13,2007-03-15,8,false,,0,0,0,Dfb,5,6,2,9,0,DB,1,EN,64,acadia,1041,6065,6148,5841,6072,5803,4525,3296,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,6,2000_04_06_0000000000000000014e,1075838976,28455,10617,593,16086,3908,11053,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,2,1,38,1,DB,15,EN,64,acadia,80,726,2153,457,693,2515,1890,1066,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,7,2000_04_07_0000000000000000014e,1075576835,42644,-7196,5184,17793,3728,11054,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,4,2,16,1,DB,9,EN,64,acadia,1041,7734,7906,7348,7655,NaN,6446,647,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,8,2000_04_08_0000000000000000014e,1077411843,31158,9998,2612,15607,3914,11055,2019-01-13,2007-03-15,8,false,,0,1,2,Dfb,5,3,1,47,1,DB,15,EN,64,acadia,40977,9147,9329,8490,8972,NaN,6806,760,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,9,2000_04_09_0000000000000000014e,1073741824,35857,-7363,4023,17301,3670,11056,2019-01-13,2007-03-15,8,false,,0,2,2,Dfb,5,3,1,31,1,DB,15,EN,64,acadia,1041,8092,7993,8105,8176,6369,3010,1518,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,4,10,2000_04_10_0000000000000000014e,1073741824,36669,9712,4204,15131,3938,11057,2019-01-13,2007-03-15,8,false,,0,0,2,Dfb,5,3,1,26,0,DB,15,EN,64,acadia,1809,2961,3454,3017,3064,3289,1919,1362,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
