SIF,ELEVATION,BCCMASS,TA,RF,SW,VPD,Region,randomNum
3235,1356,7438,29756,2025,15343,69,1,0
4211,230,8523,29809,3237,14310,39,1,0
4214,235,8059,29806,3213,14067,36,1,1
4022,240,7444,29812,3040,13969,35,1,1
3903,212,7027,29808,3033,13891,34,1,1
3895,218,6783,29807,3032,13872,33,1,0
3947,218,6675,29802,2883,13858,32,1,0
3912,192,6633,29796,2935,13886,31,1,1
3687,217,6675,29806,2945,13935,32,1,0
3891,191,6761,29826,2905,13933,32,1,0
3967,151,6886,29834,2905,14007,33,1,0
3779,132,7027,29857,2725,14196,35,1,1
3965,127,7116,29851,2727,14312,35,1,0
4140,176,7171,29862,2565,14524,38,1,1
4223,196,7242,29880,2528,15058,42,1,0
4457,543,7324,29863,2324,15228,44,1,0
4470,315,7526,29868,2407,15235,44,1,1
4436,470,7845,29852,2707,14996,43,1,0
4364,556,8195,29833,3039,14995,41,1,0
4296,733,8396,29803,2972,15027,44,1,0
4001,1884,8432,29783,2603,14840,48,1,1
3451,2430,8214,29746,2385,14515,52,1,0
3165,3090,7215,29192,3318,14378,28,1,1
2297,3938,5654,28351,3302,15005,14,1,0
4128,47,9477,29915,3702,14561,46,1,1
4117,126,8895,29754,3135,14719,43,1,1
4391,755,9174,29722,1926,15937,57,1,0
4271,1931,9029,30007,1690,17472,112,1,1
3099,1505,6595,29556,8377,14030,60,1,1
3176,740,5777,29032,3405,15688,35,1,1
3537,720,5729,29166,2481,15870,47,1,0
3579,1625,6796,29407,2473,15481,53,1,0
4279,228,8073,29807,3024,14353,38,1,1
4195,217,7520,29811,3072,14165,37,1,0
3985,222,7039,29822,3011,14047,36,1,1
3929,208,6758,29803,3119,13960,34,1,0
3841,212,6608,29811,3022,13909,33,1,1
3811,200,6572,29820,2883,13938,32,1,0
3739,196,6689,29804,2913,13987,32,1,0
3503,178,6761,29801,2903,13958,32,1,1
3731,164,6874,29837,2848,13913,33,1,0
3722,135,7018,29849,2764,14055,35,1,1
3932,124,7128,29857,2780,14226,35,1,0
4131,123,7191,29863,2733,14257,36,1,1
4188,141,7239,29882,2633,14456,38,1,1
4145,145,7271,29850,2548,14752,40,1,0
4209,181,7253,29819,2404,14787,41,1,0
4354,166,7280,29796,2589,14832,40,1,1
4294,246,7577,29883,2477,15117,45,1,1
4504,248,7903,29874,2598,15127,46,1,0
4102,273,7858,29537,3117,14539,35,1,1
3935,336,7594,29576,3518,14346,33,1,1
3743,618,7245,29573,2811,14365,40,1,0
3583,1653,6722,29336,2245,14643,40,1,0
2519,3401,6439,29119,2171,14509,36,1,0
2216,3984,5205,28518,2409,15144,22,1,1
4256,0,6437,29800,1528,13097,53,1,1
3532,25,6180,29746,3372,13750,52,1,1
3284,53,7078,30004,1779,16402,83,1,1
4176,22,8853,29982,3877,15504,57,1,0
3769,50,8582,29662,4621,14877,38,1,1
4021,125,8957,29655,3444,15183,37,1,1
4287,343,9547,29905,3039,16066,54,1,0
4215,919,8367,29964,2163,16965,81,1,1
4248,618,6670,29703,2464,16863,63,1,1
3503,448,5167,28538,4165,13972,27,1,1
3461,661,6381,29081,2497,15493,35,1,1
4015,1387,7587,29585,2672,15636,58,1,0
4326,1424,8261,29765,2834,15415,57,1,0
4337,265,7811,29811,2781,14663,48,1,0
4196,247,7317,29805,2863,14370,38,1,1
4100,220,6921,29811,2973,14249,37,1,1
3971,201,6682,29823,2972,14123,36,1,0
3875,204,6549,29818,3019,14029,33,1,1
3833,194,6504,29806,2984,13989,32,1,0
3817,174,6534,29827,2965,14007,32,1,0
3874,190,6720,29823,2827,14062,33,1,1
3679,183,6844,29812,2804,14010,32,1,1
3584,154,6972,29831,2842,13946,33,1,1
3661,123,7100,29846,2785,14086,34,1,1
4018,117,7189,29869,2757,14263,35,1,0
4123,122,7228,29879,2581,14277,37,1,1
3939,121,7261,29881,2626,14411,38,1,0
3970,135,7305,29835,2441,14604,39,1,1
4179,158,7325,29814,2283,14620,41,1,0
4336,260,7418,29792,2246,14660,42,1,1
4362,159,7525,29841,2447,15035,42,1,1
4264,180,7611,29869,2406,15064,44,1,0
4190,224,7669,29841,2314,14655,47,1,1
4214,412,7643,29741,2949,14638,42,1,1
3772,388,7504,29479,4085,14800,32,1,1
3748,936,7289,29329,3245,14802,32,1,1
3686,3079,7068,29488,1905,14093,52,1,0
3508,3419,5409,29046,3223,14463,30,1,0
2915,3441,4612,28363,2077,15823,18,1,0
3526,919,6572,29163,4116,15362,31,1,0
2619,1397,6631,29865,1689,15896,99,1,0
4078,65,8148,29712,2531,16412,65,1,0
4167,31,8412,29626,2722,16321,57,1,0
3859,189,6665,29664,4442,15216,41,1,1
3284,258,6270,29124,2831,16183,27,1,1
2864,1172,4687,28797,2284,15602,32,1,0
3350,2831,5839,29093,2057,15134,36,1,1
3736,2602,7788,29680,1748,15517,74,1,0
4330,413,8896,29825,2923,15110,54,1,1
4324,296,7958,29780,2622,14638,44,1,1
4223,295,7312,29786,2571,14498,42,1,1
4107,234,6844,29784,2809,14214,38,1,1
3954,221,6561,29788,2909,14141,35,1,1
3949,206,6432,29800,3026,14218,34,1,1
3819,183,6407,29796,3064,14121,32,1,1
3711,177,6434,29813,2950,14043,32,1,0
3813,172,6506,29820,2948,14077,32,1,0
3866,145,6735,29832,2904,14095,32,1,0
3897,141,6899,29841,2894,14087,33,1,0
3989,150,7091,29854,2849,14153,34,1,1
3866,143,7206,29858,2729,14139,34,1,1
3826,114,7231,29840,2646,14202,35,1,0
3715,113,7271,29834,2572,14287,36,1,1
3797,116,7332,29832,2524,14361,36,1,0
4061,167,7391,29822,2308,14585,39,1,1
4258,236,7453,29810,2276,14698,41,1,0
4190,285,7785,29806,2236,14770,42,1,0
4301,253,7891,29797,2376,14804,43,1,1
4335,197,7801,29802,2486,14889,42,1,1
4207,178,7724,29800,2319,15080,47,1,1
4224,195,7568,29779,2428,15177,46,1,1
4282,247,7422,29791,2532,15254,47,1,0
4248,633,7396,29769,2420,15054,48,1,0
3848,1275,7382,29590,2760,14590,39,1,0
3164,841,6336,28896,3691,14040,20,1,0
3059,1266,5450,28801,3408,14600,26,1,0
2514,3072,3809,28909,1489,15670,40,1,1
3962,1121,7095,29704,2445,16141,58,1,0
3754,2811,7242,29304,4791,15615,42,1,0
4626,64,8306,29462,2306,15966,56,1,0
4329,116,9291,29810,1284,16475,71,1,0
4046,549,9561,29642,1526,16552,56,1,1
3784,419,8960,29316,1699,16184,45,1,1
2690,110,7169,28978,5937,13280,27,1,1
2827,1246,4246,28778,3422,16432,26,1,1
2924,1796,4800,28540,2100,15735,29,1,0
3440,2718,6284,28539,2918,14610,17,1,0
4056,2318,8272,29789,2037,15460,79,1,1
4465,258,8689,29843,2520,15021,55,1,1
4234,258,7532,29778,2622,14530,42,1,1
4125,283,6932,29758,2744,14444,39,1,1
3904,237,6525,29752,3043,14171,35,1,1
3828,220,6360,29776,3104,14102,34,1,1
3783,208,6300,29789,2959,14216,34,1,1
3721,200,6316,29798,2996,14118,32,1,0
3736,173,6405,29805,2943,14053,32,1,1
3732,163,6535,29832,2872,14070,33,1,0
3799,144,6835,29828,2888,14102,32,1,1
3885,130,7019,29828,2950,14095,32,1,1
3979,130,7204,29868,2844,14155,34,1,1
3987,130,7305,29850,2859,14131,33,1,1
3801,114,7371,29824,2705,14155,34,1,0
3818,147,7424,29833,2486,14270,36,1,0
3952,151,7488,29833,2437,14361,37,1,1
4048,178,7575,29820,2375,14579,40,1,0
4041,210,7646,29816,2283,14703,41,1,1
4071,267,7977,29824,2258,14800,43,1,0
4168,272,8097,29819,2326,14792,44,1,0
4237,258,7999,29810,2312,14859,44,1,0
4282,223,7930,29788,2317,14971,44,1,1
4311,316,7774,29774,2345,14983,45,1,0
4300,324,7625,29763,2360,15025,45,1,1
4320,323,7365,29789,2668,15242,48,1,1
4424,1163,7284,29752,2621,15228,47,1,0
4299,1920,6267,29417,3785,13758,33,1,1
3476,2654,4831,29204,3302,13851,29,1,0
2404,1889,3791,28506,2125,14861,19,1,0
4397,493,7095,29905,1767,16428,62,1,0
4273,564,7242,30033,1652,17172,99,1,0
4366,830,9291,29967,3232,14881,51,1,0
4151,1644,8960,29760,5582,15770,51,1,1
3224,1968,7169,29047,3912,13456,30,1,1
3104,1481,4853,29043,4436,13282,31,1,0
2870,1644,4246,28604,2757,14924,20,1,0
3252,2584,4800,29207,2057,15648,41,1,1
2987,2887,6284,29763,1714,16176,80,1,1
4306,232,8689,29844,2453,14773,50,1,0
4472,277,7532,29798,2594,14586,39,1,1
4276,276,6932,29787,2644,14559,37,1,0
3997,246,6525,29803,2824,14455,35,1,1
3842,294,6360,29814,2877,14387,35,1,1
3674,223,6300,29808,2866,14300,34,1,1
3707,192,6316,29811,2883,14177,33,1,1
3787,178,6405,29813,2945,14134,32,1,0
3781,163,6535,29834,2908,14081,32,1,1
3790,150,6835,29837,2878,14057,32,1,0
3825,142,7019,29821,2937,13991,30,1,0
3932,114,7204,29845,2909,13993,32,1,0
3964,120,7305,29828,2838,14047,31,1,0
3867,150,7371,29837,2575,14159,34,1,1
3851,153,7424,29835,2463,14264,36,1,0
3947,149,7488,29836,2457,14382,37,1,0
3998,188,7575,29821,2300,14573,40,1,0
3939,212,7646,29820,2395,14668,40,1,1
4017,223,7977,29839,2301,14747,43,1,1
4192,235,8097,29811,2327,14861,42,1,0
4396,256,7999,29796,2244,14975,43,1,0
4402,267,7930,29775,2109,15032,47,1,1
4355,341,7774,29762,2200,15106,47,1,0
4334,360,7625,29752,2070,15202,48,1,1
4323,313,7365,29725,2232,15299,50,1,0
4475,408,7284,29704,2507,15448,50,1,0
3853,586,6267,29130,3010,14296,25,1,1
2573,1276,4831,28775,2853,13978,20,1,1
2316,1746,3791,28248,2291,14534,15,1,1
4321,28,8909,30052,2524,12891,73,1,1
4444,9,9458,29984,3778,13964,57,1,1
3133,601,8084,29076,2484,15236,35,1,0
3850,1179,6162,29699,1951,13909,67,1,0
3438,1736,7789,29685,2792,13452,60,1,0
3035,3522,6642,29636,1610,14890,69,1,1
4232,1845,7630,29857,1737,15822,88,1,0
4263,202,8536,29850,2476,14866,51,1,1
4337,199,7961,29828,2550,14727,45,1,1
4305,204,6769,29787,2671,14464,38,1,0
4292,232,6417,29782,2697,14454,35,1,0
4073,215,6276,29799,2874,14373,34,1,0
3847,192,6230,29803,2960,14287,33,1,0
3774,172,6263,29798,3075,14236,32,1,0
3672,174,6351,29824,3015,14140,32,1,1
3769,160,6483,29817,2988,14116,31,1,0
3761,148,6627,29840,2953,14035,32,1,1
3742,129,6982,29826,2939,13998,31,1,1
3815,133,7173,29817,2991,13932,30,1,0
3990,109,7375,29850,2887,13967,32,1,1
3913,126,7507,29832,2926,14012,31,1,0
3870,125,7575,29839,2620,14127,34,1,0
3869,145,7617,29833,2556,14257,35,1,0
3906,145,7664,29829,2516,14347,37,1,0
3977,175,7765,29826,2410,14509,39,1,1
3970,210,7849,29828,2390,14627,41,1,0
4155,198,8106,29837,2323,14752,43,1,1
4274,233,8193,29803,2240,14874,43,1,0
4389,260,8151,29784,2253,14968,43,1,1
4363,292,8161,29770,2147,15003,46,1,1
4318,357,8021,29774,2142,15070,49,1,0
4329,389,7873,29757,2072,15178,50,1,0
4432,448,7645,29732,2062,15342,52,1,0
4492,474,7419,29706,2457,15437,49,1,0
4195,754,6567,29392,2386,14799,37,1,1
3081,2122,5003,28890,4323,13937,19,1,1
2869,2468,3976,28375,3639,13752,15,1,0
2823,4,9456,29828,5527,12800,53,1,0
2919,9,7570,29197,4060,14610,32,1,0
3265,2035,5798,28972,2900,15330,29,1,1
4375,844,7234,29901,1876,14431,84,1,1
4230,195,8376,29845,2731,15014,53,1,1
4240,212,7723,29840,2567,14784,46,1,1
4289,209,7097,29824,2598,14690,42,1,0
4073,205,6334,29773,2770,14500,36,1,1
4073,240,6192,29777,2769,14446,34,1,1
3925,217,6154,29788,2865,14292,33,1,1
3794,194,6194,29801,2839,14193,33,1,1
3712,192,6299,29798,2907,14182,32,1,1
3816,155,6428,29827,2952,14135,32,1,0
3797,159,6602,29829,2989,14084,32,1,0
3727,137,6767,29834,2980,13989,31,1,1
3810,138,7148,29826,2941,13945,31,1,0
3878,139,7321,29818,2938,13880,30,1,0
3872,106,7539,29858,2894,13915,32,1,0
3919,124,7750,29841,2889,13959,31,1,1
3860,122,7810,29832,2743,14084,33,1,1
3865,130,7847,29830,2604,14226,34,1,0
3847,157,7891,29833,2450,14317,37,1,0
3940,176,7995,29823,2445,14491,39,1,0
3981,201,8082,29841,2358,14597,42,1,0
4136,188,8316,29829,2315,14726,43,1,1
4254,248,8518,29804,2232,14893,45,1,1
4376,291,8619,29796,2196,14958,45,1,1
4415,302,8620,29789,2096,15015,47,1,1
4421,339,8498,29789,2051,15080,50,1,0
4462,372,8323,29773,2111,15181,50,1,1
4426,390,8088,29727,1995,15330,52,1,1
4528,456,7771,29714,2121,15366,52,1,1
4528,507,7452,29670,2033,15034,50,1,0
4364,1511,6987,29434,3930,13887,32,1,0
3550,2371,5569,29141,5687,13174,25,1,1
4039,0,7223,28734,2525,15172,25,1,1
3076,245,5726,29162,2305,15048,44,1,1
3322,1917,7312,29805,1930,15429,86,1,0
4281,178,8334,29908,2207,15104,64,1,1
4287,174,7729,29838,2590,14705,44,1,1
4181,213,7100,29819,2664,14629,40,1,1
4090,197,6611,29816,2791,14557,38,1,1
4035,208,6213,29799,2773,14451,34,1,1
4031,265,6162,29791,2840,14375,33,1,0
3614,226,6176,29765,2899,14203,31,1,1
3568,203,6256,29783,2893,14142,31,1,1
3600,190,6415,29808,2915,14076,32,1,1
3852,166,6594,29827,3021,14057,31,1,0
3712,134,6779,29841,3035,13978,32,1,1
3713,126,6942,29830,3021,13910,30,1,1
3812,131,7348,29841,3032,13885,31,1,1
3875,128,7543,29822,3077,13835,29,1,0
3961,132,7750,29850,2977,13806,30,1,0
3859,119,7989,29850,3044,13843,31,1,1
3835,115,8051,29835,2780,13966,32,1,0
3874,140,8107,29830,2678,14075,33,1,0
3870,145,8153,29832,2522,14193,36,1,1
3842,183,8263,29826,2529,14461,39,1,1
3965,197,8374,29844,2329,14563,41,1,0
4099,189,8669,29825,2402,14656,43,1,0
4331,256,8927,29833,2244,14958,47,1,0
4371,273,9129,29833,2197,14974,49,1,0
4393,277,9098,29818,2066,15065,50,1,0
4545,303,9008,29812,2026,15142,50,1,0
4524,339,8878,29797,2031,15201,52,1,1
4459,357,8688,29755,1960,15268,53,1,1
4462,461,8425,29750,2012,15231,53,1,0
4565,389,8142,29753,2666,14886,47,1,0
4395,575,8014,29746,2647,14042,44,1,1
3822,758,7358,29616,3852,13280,35,1,1
2500,4127,4795,27691,2985,15732,11,1,0
2987,727,6364,29312,2015,15238,46,1,1
4192,153,7744,29889,2358,14974,57,1,0
4128,170,7185,29846,2585,14539,42,1,0
3915,176,6741,29834,2640,14495,39,1,1
3849,193,6404,29815,2793,14441,37,1,1
3842,182,6151,29795,2888,14250,34,1,1
3833,200,6175,29797,2924,14190,33,1,1
3800,230,6268,29794,2985,14189,31,1,1
3850,229,6400,29798,2983,14149,30,1,0
3730,191,6549,29816,2990,14011,31,1,1
3721,136,6739,29839,3073,13960,31,1,0
3736,126,6955,29846,3054,13925,32,1,0
3743,123,7121,29821,3087,13890,30,1,0
3792,103,7510,29842,3061,13856,31,1,0
3819,115,7724,29829,3055,13822,30,1,0
3731,120,7896,29842,3183,13812,30,1,0
3894,108,8154,29867,3015,13838,32,1,0
3855,115,8240,29840,2800,13934,32,1,0
3850,121,8276,29829,2734,14028,33,1,0
3759,137,8332,29818,2758,14147,35,1,1
3779,183,8471,29827,2600,14460,38,1,1
4043,168,8674,29842,2463,14572,41,1,1
4298,208,9098,29840,2433,14659,43,1,1
4419,210,9249,29839,2232,14949,47,1,1
4399,218,9436,29828,2171,14982,49,1,1
4562,236,9534,29823,2098,15078,50,1,1
4689,267,9554,29821,2064,15142,53,1,1
4691,287,9483,29808,2066,15200,52,1,1
4636,318,9373,29770,1994,15263,53,1,1
4576,381,9215,29751,1971,15223,53,1,1
4570,368,8787,29751,2543,14805,49,1,0
4501,320,8643,29764,2758,14358,45,1,1
4224,310,8286,29702,3314,13796,39,1,0
3490,3137,6318,28220,4068,13954,13,1,1
4312,20,6031,29934,793,16723,81,1,0
3547,1021,7059,29464,1296,16152,59,1,0
4102,156,7351,29862,2812,14598,45,1,0
3916,170,6826,29839,2835,14337,37,1,0
3773,155,6477,29825,2871,14242,35,1,1
3505,196,6234,29820,2926,14186,34,1,1
3415,178,6145,29806,2913,14115,33,1,0
3434,214,6241,29808,2977,14065,32,1,1
3627,205,6383,29825,3080,14010,30,1,1
3880,186,6547,29821,3082,13990,30,1,0
3591,168,6716,29802,3189,13894,30,1,0
3678,120,6894,29829,3220,13947,30,1,0
3732,111,7091,29857,3181,13912,32,1,1
3666,120,7297,29822,3007,13797,30,1,1
3586,109,7686,29818,3174,13769,30,1,1
3696,104,7961,29850,3076,13799,31,1,0
3707,126,8184,29865,3001,13947,32,1,1
3883,86,8375,29872,2980,13948,33,1,1
3818,110,8429,29820,2881,14057,32,1,0
3880,128,8506,29829,2698,14187,34,1,0
3973,158,8640,29835,2571,14338,36,1,0
4044,192,8789,29860,2527,14638,40,1,0
4142,156,8974,29846,2454,14704,42,1,1
4350,181,9340,29844,2403,14730,43,1,1
4484,192,9527,29840,2248,14901,47,1,0
4534,218,9858,29831,2142,14986,48,1,0
4747,232,10232,29835,2092,15111,51,1,0
4783,248,10395,29829,2080,15144,53,1,1
4739,275,10383,29823,2065,15178,54,1,0
4667,295,10329,29798,2050,15258,55,1,1
4674,378,10288,29785,2014,15252,56,1,1
4588,343,9752,29787,2301,15058,55,1,1
4506,317,9581,29797,2747,14866,51,1,0
4396,264,9171,29773,2868,14386,47,1,1
3793,1801,7780,29177,3727,12868,22,1,1
3112,4435,4958,28504,3455,14207,15,1,1
3617,605,7186,29605,1153,15657,56,1,0
4106,134,7335,29897,2769,14564,53,1,0
3925,156,6944,29860,2955,14413,41,1,0
3740,163,6532,29839,2942,14228,36,1,1
3560,157,6288,29835,2919,14114,34,1,0
3394,176,6160,29826,3003,14086,34,1,1
3229,197,6173,29816,3094,14010,32,1,0
